recipientid,case_status,case_reopened,case_isactive,demo_familysize,demo_deceasedcount,demo_eduburden,demo_maritalvuln,med_disability,med_chronic,med_urgent,med_count,house_isrented,house_rent,house_infra,house_elec,house_ratio,fin_balance,fin_status,hist_lastmonth,xgboost_suggestion,group_id,max_budget,min_allocation,max_allocation,min_cases,amount_allocated
08c423d7,0,0,1,7,0,6,1,0,0,1,0,0,0,0,1,0.142857143,91.71739493,1,601.1150117,374.1049,1,10000,200,800,20,0.0
8c4e5c4a,0,1,1,4,0,16,2,0,0,0,2,0,0,1,1,0.25,3.53315261,1,366.3618433,345.3684,1,10000,200,800,20,0.0
2e36ff21,0,1,1,4,0,18,4,0,0,0,3,1,1500,1,0,0.25,233.3814466,1,563.2882178,598.2379,1,10000,200,800,20,0.0
e0100cb3,0,1,1,4,2,2,5,0,4,0,9,1,800,1,1,0.25,304.9983289,1,425.1558745,634.6392,1,10000,200,800,20,0.0
8a96b598,0,0,1,4,1,9,5,7,4,1,1,1,800,1,0,0.25,421.1423873,1,570.4439744,1332.4519,1,10000,200,800,20,625.7581272312735
8aa39843,0,2,1,7,0,8,4,0,0,1,2,0,0,0,1,0.142857143,178.3766633,1,772.2447693,442.4511,1,10000,200,800,20,0.0
2cdebc4c,0,2,1,1,2,4,1,0,4,1,7,0,0,0,0,1.0,395.0877703,1,623.2981268,447.33,1,10000,200,800,20,0.0
2eaf1bdc,0,2,1,5,2,2,0,0,0,1,6,0,0,0,1,0.2,318.7787357,1,721.7295212,374.0269,1,10000,200,800,20,0.0
e7410ec2,0,0,1,3,0,18,0,7,0,0,6,1,800,0,1,0.333333333,55.44541041,1,249.2922291,538.5302,1,10000,200,800,20,0.0
4e64336f,0,1,1,3,1,12,5,0,0,0,9,0,0,1,1,0.333333333,440.2339195,1,186.5700589,462.6999,1,10000,200,800,20,0.0
b14d38d7,0,1,1,7,0,0,0,0,4,1,4,0,0,0,0,0.142857143,159.0017375,1,304.7812582,605.5998,1,10000,200,800,20,0.0
a6a97835,0,1,1,1,2,8,3,0,4,1,2,1,1500,1,1,1.0,122.0627611,1,251.7822958,637.8437,1,10000,200,800,20,0.0
f9ece8c7,0,1,1,1,0,1,1,7,4,1,5,1,1500,0,1,1.0,18.44347368,1,634.3513447,871.2418,1,10000,200,800,20,500.96403499999997
c14590b2,0,0,1,8,2,16,5,7,0,0,8,1,800,1,0,0.125,380.8098077,1,535.7746841,1182.5086,1,10000,200,800,20,502.03511033069805
722a64c8,0,2,1,4,2,3,2,7,0,1,1,1,1500,1,1,0.25,20.38757078,1,96.17655109,1055.8951,1,10000,200,800,20,631.1246866893224
cd08384e,0,0,1,8,1,9,2,0,4,0,1,1,1500,0,0,0.125,367.6080596,1,516.6358913,940.9153,1,10000,200,800,20,399.8890025
39ac19be,0,2,1,1,2,8,0,0,0,0,0,1,1500,1,0,1.0,279.1467268,1,887.0864243,470.9679,1,10000,200,800,20,0.0
5c9f1df9,0,1,1,8,1,2,5,0,0,1,5,0,0,1,1,0.125,334.4941274,1,305.3638603,726.9483,1,10000,200,800,20,0.0
521c382c,0,2,1,3,0,3,0,7,0,0,2,0,0,1,1,0.333333333,112.1346547,1,744.1705231,339.1882,1,10000,200,800,20,0.0
60e54b0b,0,2,1,6,1,12,2,7,4,1,0,1,400,0,1,0.166666667,294.9354238,1,502.6370931,1289.7495,1,10000,200,800,20,719.9637891067116
ebcd47cd,0,2,1,5,2,16,0,7,4,0,2,1,1500,0,0,0.2,140.3861812,1,883.4940223,965.0043,1,10000,200,800,20,482.50215
b542bbed,0,1,1,4,0,0,2,7,4,1,7,0,0,1,1,0.25,147.224446,1,696.0297967,811.8643,1,10000,200,800,20,466.82197249999996
d63d00c0,0,1,1,2,1,9,1,7,0,0,2,0,0,0,1,0.5,495.0269251,1,708.9109969,408.07,1,10000,200,800,20,0.0
4b50686d,0,1,1,2,1,6,0,7,0,0,2,0,0,1,1,0.5,456.6202763,1,396.7838272,477.9671,1,10000,200,800,20,0.0
d1500b99,0,0,1,7,2,18,0,7,0,0,0,1,400,1,1,0.142857143,46.99096992,1,860.4046183,854.4679,1,10000,200,800,20,427.23395
a25a8f5d,0,0,1,8,0,6,3,7,0,0,1,0,0,0,1,0.125,107.9105137,1,699.5122108,591.9745,1,10000,200,800,20,0.0
7e269e5e,0,0,1,4,2,18,3,7,0,0,9,0,0,0,1,0.25,20.53375838,1,80.87296662,755.3871,1,10000,200,800,20,377.69355
2a50d695,0,2,1,2,1,15,0,7,0,1,4,1,400,0,1,0.5,119.8936796,1,737.8969167,770.9988,1,10000,200,800,20,443.32430999999997
883f2144,0,1,1,6,1,15,2,0,4,1,9,0,0,1,1,0.166666667,23.85806385,1,46.00264202,805.974,1,10000,200,800,20,463.43505
e439dc2c,0,1,1,8,1,4,1,7,4,1,2,0,0,1,0,0.125,173.1521605,1,374.6126146,1465.9008,1,10000,200,800,20,786.8820227668704
528d9238,0,0,1,2,2,1,0,7,4,0,2,1,1500,1,0,0.5,329.3468158,1,677.1683424,699.2453,1,10000,200,800,20,0.0
92866340,0,0,1,3,0,7,1,0,4,1,2,0,0,0,1,0.333333333,193.0513189,1,377.2590832,383.5156,1,10000,200,800,20,0.0
41cd9c52,0,0,1,2,0,9,1,7,4,1,4,0,0,1,1,0.5,35.59432423,1,692.8903587,851.9342,1,10000,200,800,20,489.862165
0c8a067b,0,1,1,5,2,16,2,7,4,0,4,1,400,1,1,0.2,211.7354712,1,340.8035403,843.9145,1,10000,200,800,20,421.95725
928668b5,0,0,1,4,2,8,5,0,0,0,8,0,0,0,1,0.25,369.9543802,1,320.049601,460.9904,1,10000,200,800,20,0.0
181982fa,0,2,1,3,2,19,2,7,0,0,4,1,800,0,1,0.333333333,478.4004426,1,602.4409259,688.6074,1,10000,200,800,20,0.0
916f6bbb,0,1,1,4,2,12,4,7,4,1,8,0,0,1,0,0.25,390.6480252,1,441.5305014,1196.9984,1,10000,200,800,20,582.0192356158079
7c55ab6c,0,0,1,2,1,6,5,0,4,0,4,0,0,0,1,0.5,433.4343527,1,706.2422272,427.5011,1,10000,200,800,20,0.0
160ba6ed,0,1,1,6,0,19,0,0,0,1,2,0,0,1,1,0.166666667,187.1353979,1,376.2595855,379.8821,1,10000,200,800,20,0.0
ca6cb362,0,1,1,7,1,19,3,7,0,1,8,0,0,0,1,0.142857143,5.676822384,1,681.0394271,1192.1442,1,10000,200,800,20,682.8844472462206
b4d363b3,0,0,1,7,1,5,1,7,0,0,3,0,0,0,1,0.142857143,434.2995641,1,891.1431137,692.1863,1,10000,200,800,20,0.0
030c250b,0,2,1,3,2,8,0,7,0,1,8,0,0,1,0,0.333333333,37.71727354,1,584.3143119,887.9182,1,10000,200,800,20,510.5529649999999
89bbff11,0,0,1,3,1,11,3,0,4,0,8,1,1500,1,1,0.333333333,28.93194888,1,388.268384,657.8026,1,10000,200,800,20,0.0
1ae16068,0,2,1,4,0,8,0,0,4,1,5,0,0,0,1,0.25,349.080857,1,133.1851252,398.4825,1,10000,200,800,20,0.0
ac5efd7d,0,2,1,2,1,9,5,7,0,1,8,0,0,1,1,0.5,306.707598,1,376.4633669,876.4418,1,10000,200,800,20,428.3609297499999
ad0ce18f,0,0,1,6,0,1,0,0,0,1,4,0,0,0,1,0.166666667,284.5407346,1,864.7223763,250.4424,1,10000,200,800,20,0.0
565fc004,0,0,1,7,2,4,4,0,4,0,7,0,0,0,1,0.142857143,456.5828761,1,450.5441353,605.1019,1,10000,200,800,20,0.0
a7ef1e16,0,0,1,8,1,1,5,7,0,1,8,1,800,0,1,0.125,56.7787961,1,551.9068388,1219.4845,1,10000,200,800,20,693.2707718645393
